City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Clyde River,CA,70.47,-68.59,60.8,51,75,8.05,broken clouds
109,Rosetown,CA,51.55,-108.0,77.0,43,38,5.99,scattered clouds
110,Mar Del Plata,AR,-38.0,-57.56,60.8,55,100,10.29,overcast clouds
111,Yellowknife,CA,62.46,-114.35,78.01,60,75,18.34,broken clouds
112,Anito,PH,12.45,125.29,80.22,85,100,6.08,light rain
113,Guerrero Negro,MX,27.98,-114.06,84.94,47,27,15.05,scattered clouds
114,Arraial Do Cabo,BR,-22.97,-42.03,75.2,53,40,10.29,scattered clouds
115,Paita,PE,-5.09,-81.11,69.6,67,0,16.51,clear sky
116,Macae,BR,-22.37,-41.79,75.2,64,20,9.17,few clouds
117,Souillac,MU,-20.52,57.52,69.8,73,75,17.22,broken clouds
118,Arrifes,PT,37.77,-25.7,75.2,64,20,8.05,few clouds
119,Lompoc,US,34.64,-120.46,66.2,72,0,12.75,clear sky
120,Pevek,RU,69.7,170.31,37.22,85,100,2.1,overcast clouds
121,Erenhot,CN,43.65,111.98,66.67,53,97,17.0,overcast clouds
122,Asfi,MA,32.3,-9.24,74.61,70,80,21.14,broken clouds
123,Ryotsu,JP,38.08,138.43,71.6,94,100,1.12,overcast clouds
124,Ribeira Brava,PT,32.65,-17.07,73.0,90,2,1.01,clear sky
125,Karratha,AU,-20.74,116.85,68.18,73,84,8.08,broken clouds
126,Acapulco,MX,16.86,-99.89,87.8,74,20,9.17,few clouds
127,Howard Springs,AU,-12.5,131.05,68.0,88,30,5.82,scattered clouds
128,Tafresh,IR,34.69,50.01,75.65,19,0,11.32,clear sky
129,Nouakchott,MR,18.09,-15.98,86.0,70,100,24.16,sand
130,Leshukonskoye,RU,64.9,45.76,50.31,95,100,8.5,overcast clouds
131,Abu Samrah,SY,35.3,37.18,77.11,57,0,12.68,clear sky
132,Kavieng,PG,-2.57,150.8,82.06,76,0,4.74,clear sky
133,Port Elizabeth,ZA,-33.92,25.57,68.0,37,0,9.17,clear sky
134,Nantucket,US,41.28,-70.1,77.0,73,1,16.11,clear sky
