City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,Popondetta,PG,72.09,clear sky,-8.75,148.25,Timos Transit House
463,Ixtapa,MX,89.01,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
466,Leiva,CO,78.8,few clouds,1.93,-77.3,HOTEL LEIVA
467,Manavalakurichi,IN,80.6,mist,8.13,77.3,Udaya Boys Hostel
468,Kutum,SD,73.53,light rain,14.2,24.67,Dibbo areaمنطقة دبو
469,Rosarito,MX,80.6,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
470,Soyo,AO,72.66,clear sky,-6.13,12.37,Hotel Mpampa
472,Mizdah,LY,87.08,clear sky,31.45,12.98,محمدالمبروك الاريقط
473,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
474,Kodinar,IN,84.15,overcast clouds,20.79,70.7,"Hotel Krishna Park, Kodinar"
475,Kamyaran,IR,84.2,clear sky,34.8,46.94,نانوایی سنگکی خداداد مرادی
476,Tulsipur,NP,84.99,few clouds,28.13,82.3,Ekanta Hotel Pvt. Ltd
482,Sao Jose Da Coroa Grande,BR,76.78,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
486,Nola,IT,82.99,clear sky,40.92,14.53,Pamaran Hotel
488,Jiexiu,CN,79.52,overcast clouds,37.02,111.91,IU Hotel Jinzhong Yuhua Road
491,Taybad,IR,76.71,clear sky,34.74,60.78,لی پوش jean center
498,Lucapa,AO,74.64,overcast clouds,-8.42,20.74,Residência Ulisses Dos Santos
499,Bonthe,SL,73.99,overcast clouds,7.53,-12.51,Bonthe Holiday Village
500,Laguna De Perlas,NI,87.8,few clouds,12.34,-83.67,Hotel Best View
506,Imbituba,BR,77.0,clear sky,-28.24,-48.67,Praia Hotel Imbituba
511,Tevaitoa,PF,79.11,overcast clouds,-16.78,-151.5,Hôtel Raiatea Lodge
512,Port Blair,IN,82.58,moderate rain,11.67,92.75,Fortune Resort Bay Island
515,Aneho,TG,77.0,few clouds,6.23,1.6,Hotel La Linette
517,Ilam,NP,82.4,scattered clouds,26.92,87.92,Chiyabari Cottage
518,Liku,ID,75.34,overcast clouds,-0.73,119.89,Agoes Liverpool
520,Parrita,CR,82.4,scattered clouds,9.52,-84.32,Beso del Viento
523,Le Vauclin,MQ,89.6,broken clouds,14.55,-60.84,Hôtel Cap Macabou
